Label,Area (µm²),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity
1,6.75,2.9316150714175193,3.241748069826241,2.732467400309316,8.707106781186548,62.87696610976037,1.186381242630479,1.118834618782173,0.9642857142857143
2,11.5,3.826519928662906,4.520342615860287,3.2927944171783183,11.707106781186548,81.75586894845269,1.3727983114517932,1.0544076427200095,0.9787234042553191
3,292.5,19.29825294774206,42.52521201481796,14.817992250649493,224.00661966467314,-40.473656390430705,2.8698362973535785,0.07325107954744835,0.5111402359108781
4,6.25,2.8209479177387813,4.955083276677638,1.5709709485504801,9.103553390593273,86.85560532872738,3.1541533478067474,0.9476937012743862,0.9615384615384616
5,215.75,16.574119336381386,35.85512214579871,11.405003800744248,142.8259018078045,-44.65180383689154,3.1438062426124693,0.13290665219210263,0.5951724137931035
6,84.25,10.357143990692485,16.0906781542101,8.151383868473655,57.05634918610404,-87.53977952757018,1.9739811563092386,0.3252159332611034,0.7929411764705883
7,154.25,14.01417852659937,19.75602307682699,12.223574006078593,86.61269837220809,-68.46234513861889,1.616223133021703,0.2583877372067337,0.7460701330108828
8,1.5,1.381976597885342,1.632993161855452,1.0,3.0,90.00003218077504,1.632993161855452,2.0943951023931953,1.0
9,1.5,1.381976597885342,1.632993161855452,1.0,3.0,90.00003218077504,1.632993161855452,2.0943951023931953,1.0
10,19.5,4.982787485166879,9.651278818148338,3.0003434958077553,21.242640687119284,-78.12342035369251,3.216724628907868,0.5430345587188795,0.8041237113402062
11,954.25,34.85668996854878,105.1966487918465,21.54543012245118,607.6264607118177,-65.05556214800379,4.882550415284004,0.03247870289225666,0.4682860998650472
12,4.25,2.326213245840639,2.776089230635553,1.9587192700091083,6.414213562373096,-63.72185075642261,1.4172981667876499,1.2981113960506478,1.0
13,2055.75,51.16113949170123,95.98791784858884,52.89155170828791,1355.8361825443205,-53.37438155189868,1.8148062355589367,0.014052892494194023,0.4648126165847041
14,10.5,3.656366395715726,4.081484079519307,3.4148522076053154,11.414213562373096,35.67154836587783,1.1952154387324045,1.0127614806253273,0.9545454545454546
15,3351.0,65.31941299803245,156.20529390283014,68.37964821307202,2152.282971419796,-76.6748900276345,2.2843828242007342,0.00909045356262673,0.4175180662845751
16,3.5,2.111004122822376,2.724676832948657,1.572925726048864,5.707106781186548,-82.83866963102754,1.7322348969349954,1.3503486408337697,1.0
17,136.25,13.171138446245484,20.51335455025637,11.972797314495535,95.59797974644667,-87.7206197977783,1.7133301442780404,0.18734795027212545,0.6566265060240963
18,5.5,2.6462837142006137,3.595752854235464,2.066133712685491,8.517766952966369,27.76827589082721,1.7403292111050384,0.9526229639294093,0.88
19,26.5,5.808687281605183,9.30980801766777,4.613077374392952,29.485281374238575,-63.058657861455345,2.0181339401212353,0.3830409314915393,0.8153846153846154
20,26.75,5.836022431559495,9.797779314258781,4.151051190426777,24.65685424949238,84.70508084886625,2.3603128135000073,0.552914926598024,0.823076923076923
21,380.5,22.01062576965338,38.3892096322076,24.411472260188507,318.68733752154174,-68.07759454789571,1.5725888722743984,0.04707983253218137,0.4941558441558442
22,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
23,270.5,18.558321498747173,28.115519840476317,18.308075069430473,187.62489168102786,46.30769429408976,1.535689565060918,0.09655977039743145,0.6071829405162739
24,3.75,2.1850968611841584,3.1711423993569103,1.4867826168164477,5.810660171779821,-86.48583280474891,2.132889074360497,1.3956938910021734,0.9375
25,23.0,5.4115163798060095,7.01799498986501,4.5644011287774235,21.242640687119284,-37.903552163427705,1.537550007517587,0.6405023000273963,0.8598130841121495
26,149.5,13.796713809378915,17.150377711056276,15.736410101054439,106.99442635585339,62.662775423945895,1.0898532512130636,0.1641076201177862,0.682648401826484
27,2.5,1.7841241161527712,2.8284271247461903,1.0,5.0,90.00003218077504,2.8284271247461903,1.2566370614359172,1.0
28,386.75,22.190660060627405,40.64586738672037,19.555830842306687,255.4122112556947,82.78505494763465,2.078452596285908,0.0745001028512685,0.5590892663534514
29,17.75,4.753945931439391,6.0727364648246756,3.933622933737951,15.82842712474619,55.62857195214379,1.543802384499019,0.8902924682682861,0.9342105263157895
30,2.0,1.5957691216057308,2.23606797749979,1.0,4.0,90.00003218077504,2.23606797749979,1.5707963267948966,1.0
31,7.75,3.141274657157109,4.046934261634377,2.55410800926836,9.535533905932738,83.45737245244483,1.5844804710485387,1.0710790804616994,1.0
32,28.75,6.050259243299904,8.273856920191395,5.392398432177143,23.656854249492383,67.59088853944459,1.534355634928646,0.6455557067703084,0.8333333333333334
33,4.25,2.326213245840639,3.2928353530040484,1.5898042497551639,6.707106781186548,-85.69220654836944,2.0712206257538677,1.1872122054039382,1.0
34,2.0,1.5957691216057308,2.23606797749979,1.0,4.0,0.0,2.23606797749979,1.5707963267948966,1.0
35,8.75,3.3377905890622728,3.9852053485234227,2.8354489914582364,10.121320343559642,69.74595530210142,1.405493578099559,1.073355474593179,0.9459459459459459
36,8.5,3.2897623212397704,4.164620712739502,2.6519986705839242,10.121320343559642,64.12723310585109,1.5703705883919334,1.0426881753190882,0.918918918918919
37,25.25,5.670035141386943,9.132201895259268,4.720291874535693,26.363961030678926,-7.825558025776836,1.9346689014135483,0.4565096101161798,0.7372262773722628
38,6.75,2.9316150714175193,3.4061042439889606,2.500609768667876,8.414213562373096,-66.71022415011609,1.3621094689250373,1.1980820884424093,0.9642857142857143
39,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
40,17.5,4.720348719413148,7.003790288635972,3.6035106409926456,18.192388155425117,2.6440013674546137,1.943601944437901,0.6644594547538861,0.8433734939759037
41,5.5,2.6462837142006137,3.2333489534143163,2.135880022631042,7.414213562373095,-90.00003218077504,1.5138251770487456,1.25731000235922,1.0
42,4.0,2.256758334191025,2.9326504330976517,1.702809865267451,6.414213562373096,63.93751468730511,1.722241862063112,1.2217519021653156,0.8888888888888888
43,9.75,3.523362819972964,5.189627374445151,2.8391082456036023,12.535533905932738,64.94472300426186,1.8279075419126267,0.7797022867168731,0.7959183673469388
44,13.75,4.1841419359420025,4.925033655867113,3.6233280693988474,12.82842712474619,3.8310677258721544,1.3592568935344111,1.0499430409233184,0.9821428571428571
45,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,90.00003218077504,1.3693063937629153,1.5079644737231006,1.0
46,57.25,8.537737635702333,13.77548894512467,6.9718028202433295,49.970562748477136,-6.917248229996926,1.9758861947624442,0.28810903272676275,0.722397476340694
47,8.5,3.2897623212397704,3.930548361567597,2.7716921666468726,9.707106781186548,-84.6078813189545,1.4181042212644708,1.1335721714472216,1.0
48,8.75,3.3377905890622728,4.247439522584241,2.8162923143644982,10.535533905932738,-16.5421974391724,1.508167139085732,0.9906148152434087,0.9210526315789473
49,51.25,8.07796550300118,11.685113131975926,9.519236867193337,50.07411613907041,-2.78241889301509,1.2275262497403512,0.2568485682577272,0.6193353474320241
50,26.25,5.781222885281108,8.484530819558534,4.470111605955024,22.94974746830583,-37.317167865684354,1.898057938476425,0.6263013526121649,0.7954545454545454
51,3.75,2.1850968611841584,3.1711423993569103,1.4867826168164477,5.810660171779821,3.5141993760261263,2.132889074360497,1.3956938910021734,0.9375
52,4.0,2.256758334191025,2.9326504330976517,1.702809865267451,6.414213562373096,63.93751468730511,1.722241862063112,1.2217519021653156,0.8888888888888888
53,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
54,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,90.00003218077504,1.3693063937629153,1.5079644737231006,1.0
55,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,0.0,1.3693063937629153,1.5079644737231006,1.0
56,9.5,3.477898169151024,4.254837490300921,2.8969298932621794,10.82842712474619,-38.64786377872908,1.4687402343415452,1.0181287778766266,0.926829268292683
57,17.0,4.652426491681278,7.527984202681245,3.1458008266133786,17.949747468305834,72.89783550511335,2.3930263286202766,0.6630436184725053,0.8395061728395061
58,13.5,4.145929793656026,5.371391984565253,3.24745336544933,12.828427124746192,0.0,1.654032061464891,1.030853167451985,1.0
59,81.75,10.202319970580199,16.517357490514687,9.503954902321052,63.54163056034261,-58.11447388363778,1.737945693164098,0.25443738004295774,0.6742268041237114
60,20.0,5.046265044040321,7.121765183986704,3.9712039313229486,20.656854249492376,-19.82407830549651,1.7933516654266084,0.5889948388275079,0.8791208791208791
61,64.5,9.062226582657155,13.562991064549452,7.828963812695011,48.470562748477136,88.782492257662,1.7324120265515166,0.3449955193954386,0.7701492537313432
62,8.75,3.3377905890622728,3.9508354236839254,2.9635681516810344,10.414213562373096,21.31752372428808,1.3331346611492232,1.0138295798171089,0.9459459459459459
63,7.75,3.141274657157109,5.305733999602546,2.268883859503908,11.707106781186548,-53.58797096900472,2.3384775634847372,0.7105790635721804,0.7560975609756098
64,844.75,32.79587024939312,71.97764207389179,29.887484005969114,563.3452377915606,-46.43212841319663,2.408287096348306,0.03344943679275473,0.4670998064694498
65,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
66,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,0.0,1.3693063937629153,1.5079644737231006,1.0
67,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,90.00003218077504,1.3693063937629153,1.5079644737231006,1.0
68,4.5,2.393653682408596,3.958114029012639,1.6329931618554518,7.0,-56.309952608434315,2.4238399287081647,1.1540544441758425,0.8181818181818182
69,24.75,5.613615477764332,8.185239606533008,4.577520533264126,23.192388155425117,-76.06152998484977,1.7881382611071106,0.5782213528624601,0.8181818181818182
70,4.75,2.4592453796829674,2.7723491168885444,2.1478476084574902,6.707106781186548,12.820507496305092,1.2907568981951887,1.3268842295691072,1.0
71,26.0,5.753627391751592,7.801578247776164,4.642590448725262,21.363961030678926,79.62734347174188,1.6804364576070416,0.7158460910004455,0.9043478260869565
72,9.25,3.431831258788849,4.4035949305051645,2.7895287689931023,11.121320343559642,-48.6143914515297,1.5786160657144501,0.9398074765109323,0.9024390243902439
73,6.0,2.763953195770684,3.0990589969645086,2.449489742783178,7.82842712474619,0.0,1.2651855375574148,1.230303014972666,0.9230769230769231
74,14.0,4.222008245644752,5.0531460770548335,3.5442034350826246,12.949747468305834,-58.612585465090376,1.425749444017745,1.0490961686437292,0.9655172413793104
75,3.75,2.1850968611841584,2.309401076758503,2.0132891827388666,5.707106781186548,-45.00001609038752,1.1470786693528088,1.446802115179039,1.0
76,5.25,2.5854414729132054,3.246767819546955,2.051048035927536,7.414213562373095,-85.55210210552355,1.5829799023106177,1.2001595477065283,0.9545454545454546
77,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
78,6.5,2.876813695875796,4.516318923432663,1.8363262648763707,9.414213562373096,-11.281598052795289,2.4594316433941112,0.9216268707820511,0.896551724137931
79,4.75,2.4592453796829674,2.7723491168885444,2.1478476084574902,6.707106781186548,12.820507496305092,1.2907568981951887,1.3268842295691072,1.0
80,8.75,3.3377905890622728,4.3489366935915434,2.73320747557166,10.82842712474619,-49.862886261760266,1.5911476653201924,0.9377501901495244,0.875
81,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
82,20.5,5.108953969950291,6.22860409842214,4.668788957614869,19.242640687119284,15.757516093292372,1.3340941633832446,0.6957198331774715,0.9010989010989011
83,44.25,7.506054213402069,11.090426329398557,5.558292940264579,32.435028842544405,3.693526129596777,1.9952935997775325,0.5285603265823743,0.8676470588235294
84,5.75,2.7057581899030048,3.9891189389084936,1.8639886589599128,8.414213562373096,-78.4007327764586,2.140098288545587,1.0205884457102004,0.92
85,4.0,2.256758334191025,2.23606797749979,2.23606797749979,6.0,-45.00001609038752,1.0,1.3962634015954636,1.0
86,48.25,7.837972188868215,13.166140649905794,5.423630479877771,40.14213562373095,-85.59273951130439,2.427551194491132,0.3762757533169688,0.7845528455284553
87,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
88,14.75,4.3336224206596095,4.792033780599085,4.165484881692013,13.82842712474619,-49.49974807853182,1.1504143975316912,0.9692957615328371,0.9365079365079365
89,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,0.0,1.3693063937629153,1.5079644737231006,1.0
90,4.0,2.256758334191025,2.9326504330976517,1.702809865267451,6.414213562373096,-63.93751468730511,1.722241862063112,1.2217519021653156,0.8888888888888888
91,13.25,4.1073621666150775,6.179960294445085,3.1580490968870114,16.242640687119287,17.821950383769238,1.9568917723720212,0.631120762894283,0.8548387096774194
92,139.25,13.315352289908494,23.405613653629686,12.915036340094655,118.46194077712559,-17.97698050918627,1.81227625205878,0.12469452377646875,0.5718685831622177
93,10.75,3.6996385101659595,5.96510448764211,2.3698130979975143,12.949747468305834,-63.12805328096395,2.517120228883285,0.8055559866371492,0.86
94,62.75,8.938444016277748,12.626202077490493,9.781361635649368,58.55634918610404,-77.88834869122547,1.290842987695369,0.2299723432171436,0.6675531914893617
95,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,0.0,1.3693063937629153,1.5079644737231006,1.0
96,54.75,8.349243383340204,10.273594744218872,8.170684406242083,35.14213562373095,-25.16733979192898,1.2573726059435422,0.5571058085514206,0.8295454545454546
97,11.25,3.7846987830302403,5.889815484311043,2.9748658200311526,14.242640687119286,1.9900718798773958,1.9798592073135473,0.6969174684018759,0.8181818181818182
98,54.5,8.33015937350939,16.334419621860402,6.817270667259321,54.09188309203679,-67.73477024513537,2.3960350731427194,0.2340680649610128,0.6038781163434903
99,6.5,2.876813695875796,3.802832952094854,2.153846153846154,8.414213562373096,90.00003218077504,1.7656010134726106,1.1537086777593573,1.0
100,4.25,2.326213245840639,2.847653258236741,1.8531388280453736,6.414213562373095,-24.90175178350549,1.5366648278803519,1.298111396050648,0.9444444444444444
101,3.75,2.1850968611841584,2.309401076758503,2.0132891827388666,5.707106781186548,45.00001609038753,1.1470786693528088,1.446802115179039,1.0
102,3.75,2.1850968611841584,2.309401076758503,2.0132891827388666,5.707106781186548,-45.00001609038752,1.1470786693528088,1.446802115179039,1.0
103,8.0,3.1915382432114616,3.375814085193341,3.037264066921124,9.121320343559642,-48.3579468248184,1.111465454044437,1.2083268721137757,1.0
104,15.25,4.406461512053774,5.717390271558433,3.5214206032211735,14.535533905932738,1.7953639359075968,1.6236033452886953,0.9070218112074719,0.9104477611940298
105,102.0,11.396070970426017,19.68480625711065,10.133160040986695,81.50914498161481,-37.05540914602713,1.9426127858919995,0.19292893228786057,0.6296296296296297
106,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
107,4.5,2.393653682408596,2.7712967309465366,1.9966424556519138,6.414213562373095,-23.109445880672464,1.387978465098647,1.3744708899359803,1.0
