Label,Area (µm²),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity
1,410.25,22.85490151428355,31.02777699033285,24.149098935744803,160.66904755831212,34.4110888243737,1.284842017206962,0.19970733457632608,0.6739219712525667
2,549.0,26.438769072322643,55.84997973730898,18.285896587939643,179.22844507162114,-78.59054929647074,3.05426531691886,0.2147673875921818,0.6009852216748769
3,6.25,2.8209479177387813,4.955083276677638,1.5709709485504801,9.103553390593273,86.85560532872738,3.1541533478067474,0.9476937012743862,0.9615384615384616
4,6.5,2.876813695875796,4.222283223066448,1.9883132230534015,9.121320343559642,86.47237786235907,2.1235503411189893,0.9817655835924428,0.9285714285714286
5,10.25,3.6125759969217834,5.119281242459892,2.5851317221833225,11.535533905932738,82.89553262122965,1.9802786831056736,0.9679620470938507,0.9761904761904762
6,663.0,29.054394128245264,46.06758112534351,29.160646538720616,205.83199846221441,-72.76335539909374,1.5797859990577787,0.19665165738127005,0.6311280342693956
7,8.75,3.3377905890622728,7.700710662073447,1.4625509560450682,13.810660171779823,87.59157367135057,5.265259736930595,0.5764863637836474,0.9210526315789473
8,139.0,13.303394180365686,19.159612393571667,9.350484493441181,49.62741699796952,58.68870384646044,2.049050229109627,0.7092205662060006,0.934453781512605
9,20.0,5.046265044040321,6.392540705456111,4.715180095085094,18.949747468305834,75.90770673652737,1.355736276567554,0.699895185650957,0.8695652173913043
10,1942.75,49.73515985230406,99.69338468088277,42.85516338582745,415.60512242138304,-76.3423428545143,2.3262864216229353,0.14133997113149682,0.5697631791187037
11,62.25,8.902761462589227,17.940213137302187,5.0013607754895295,40.588834764831844,86.61629277207714,3.5870663890561287,0.47482770660957757,0.9021739130434783
12,240.5,17.498974555922032,28.844741957724583,11.635483919065612,74.55634918610404,85.55796013161256,2.479032428592017,0.5436954234493151,0.93488824101069
13,10.0,3.5682482323055424,3.9739568754607593,3.253101097718631,10.707106781186548,-74.87180818970153,1.2215903398291734,1.096138914892818,0.975609756097561
14,953.75,34.84755681236722,45.1459024671512,33.81718819558933,216.1812408671319,43.89383655028878,1.3349987055706611,0.2564533663970817,0.7169704942679948
15,95.25,11.012541334134653,14.984806741177453,8.734482859507649,41.89949493661167,85.17024161523435,1.7155917507887954,0.6818004326575865,0.9361179361179361
16,1707.0,46.61995176813166,83.71138635609441,41.81781696063009,326.9152595828997,-76.44238281802726,2.0018114870727364,0.2007118433211854,0.589942975635044
17,42.25,7.334464586120832,14.153963189968595,4.467363047639693,34.00304832720494,-87.31915112473375,3.168303770934123,0.45919893474438034,0.898936170212766
18,592.0,27.45465007031079,34.61850690346911,24.30179687101455,139.22539674441617,-78.35653188159716,1.4245245768126553,0.3837908729573746,0.8835820895522388
19,46.75,7.715176518808164,9.88858427791908,6.288942486715438,27.485281374238568,-57.638093016684095,1.5723763254008778,0.7776624058919201,0.8947368421052632
20,44.5,7.527227892173502,10.304379884442914,5.782929846183073,26.778174593052025,-89.65644252659843,1.7818614713516108,0.7798443631719055,0.956989247311828
21,441.25,23.702678100045794,38.14443398006806,16.314796223438947,123.44722215136416,-56.8471538803274,2.3380269944939407,0.36385800913721106,0.8205485820548583
22,38.0,6.955796338302048,8.917214441398281,6.5439392705582975,28.192388155425114,13.382453080547297,1.362667664340581,0.6007997292462779,0.8260869565217391
23,2.0,1.5957691216057308,2.23606797749979,1.0,4.0,90.00003218077504,2.23606797749979,1.5707963267948966,1.0
24,22.5,5.352372348458314,10.282065533411384,3.63394387955016,24.742640687119284,-85.25167410085791,2.8294508319936367,0.46184929543723213,0.8035714285714286
25,26.75,5.836022431559495,10.41704993421055,3.6396868885012617,23.15685424949238,-88.74478650965632,2.862073099507757,0.6268657269420409,0.9304347826086956
26,139.25,13.315352289908494,19.361058874514242,9.780597746640225,54.798989873223334,-72.25729511497791,1.9795373837110357,0.5827200504589922,0.901294498381877
27,4.0,2.256758334191025,3.1622776601683795,1.5612494995995996,6.414213562373096,90.00003218077504,2.0254787341673333,1.2217519021653156,1.0
28,225.75,16.95387351680916,23.08831745367479,13.439339926982942,64.4558441227157,71.11731946363274,1.7179651366150086,0.6828306741734138,0.9328512396694215
29,72.75,9.624353322664494,23.280827510439273,8.265219920535676,55.26345596729059,-80.56438364555213,2.8167220877687695,0.29934139659594083,0.563953488372093
30,67.0,9.23618154310838,12.060728219084947,7.627823340451599,33.55634918610404,-44.51741418403494,1.5811493896463131,0.7477135599133647,0.9241379310344827
31,97.0,11.11324596323283,19.12089763676118,7.367515822881045,50.55634918610404,-84.44635788067117,2.595297804095385,0.4769031474522658,0.8527472527472527
32,110.75,11.87481703351337,34.28062968665696,5.224861689906981,77.43807716974935,71.33201460087079,6.561059741136853,0.23208361342451653,0.6889580093312597
33,308.5,19.819041337834626,29.030913713770012,15.846892202001001,90.1659992311072,-84.05443289125247,1.8319625920156288,0.4768474148007334,0.8696264975334743
34,2.5,1.7841241161527712,2.8284271247461903,1.0,5.0,90.00003218077504,2.8284271247461903,1.2566370614359172,1.0
35,8.0,3.1915382432114616,3.605551275463989,2.806243040080456,9.121320343559642,45.00001609038752,1.284832148879242,1.2083268721137757,1.0
36,414.5,22.9729795910919,43.25069430948948,15.242051990811,111.32590180780451,-43.353325453376364,2.837590000058004,0.42028312731655026,0.8095703125
37,17.25,4.686510657907603,7.12138717615281,3.2426837999562577,16.48528137423857,46.06481945132493,2.1961398691568,0.797638733212527,0.8961038961038961
38,2274.5,53.81434143887787,105.54661451339516,43.72490492558556,608.7508293825822,-68.32364070644778,2.4138786509203984,0.07712881755625528,0.6021975112523167
39,52.25,8.156394191823509,15.553225951317007,5.2444080014216015,36.60660171779821,-73.71215456423288,2.965678098862826,0.489978846079483,0.8007662835249042
40,173.0,14.841510746523857,18.36378341249358,13.43177797691052,58.45584412271571,-65.75249428146954,1.3671893210311596,0.6362094192096173,0.8522167487684729
41,3.0,1.9544100476116797,2.23606797749979,1.632993161855452,5.0,90.00003218077504,1.3693063937629153,1.5079644737231006,1.0
42,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
43,318.5,20.137695871130575,29.29968494799001,17.00542307560587,105.49747468305834,16.75611107061438,1.7229612469930344,0.3596128258711497,0.7922885572139303
44,19.0,4.918490759365935,9.898125097698946,2.7230371250960306,20.899494936611664,-34.598091356731544,3.634957822086204,0.5466280116124765,0.8351648351648352
45,23.0,5.4115163798060095,6.92448675002804,4.711524028806065,18.899494936611667,-30.059812496729418,1.4696914857468648,0.8091653985637836,0.8846153846153846
46,231.75,17.177696716742147,29.340913379736357,12.616865038963152,97.7193000900063,74.95914329927415,2.325531206771756,0.3049782804630082,0.7264890282131662
47,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
48,4.0,2.256758334191025,2.23606797749979,2.23606797749979,6.0,-45.00001609038752,1.0,1.3962634015954636,1.0
49,83.25,10.295493776366547,13.420451837415136,8.236387907303014,39.849242404917504,86.60647551772442,1.6294098806972817,0.6588005723231094,0.9123287671232877
50,2.25,1.692568750643269,1.632993161855452,1.632993161855452,4.0,-45.00001609038752,1.0,1.7671458676442586,1.0
51,117.5,12.231338704589191,23.016019692622883,7.1282606306410665,54.04163056034261,-48.663186628660895,3.22884093122069,0.5055811136681166,0.8348134991119005
52,6.75,2.9316150714175193,3.364085415899025,2.578228853226751,8.414213562373096,-66.02365383386463,1.3048048126871068,1.1980820884424093,1.0
53,5.5,2.6462837142006137,3.3557421255365716,2.08580081379627,7.707106781186548,-10.073516475086809,1.608850712561062,1.1635627281466236,0.9565217391304348
